combination_id,run_time_sec,phase,is_full_dataset,n_dft_bins,n_avg_samples,srp_grid_cells,freq_min,freq_max,mae,median_error,p95_error,n_samples,success_rate,phase1_mae
0.0,10.380385875701904,1.0,False,256.0,1.0,360.0,200.0,3000.0,90.54025332121644,93.52111742667682,165.99074925850533,100,1.0,
1.0,7.401021957397461,1.0,False,256.0,1.0,360.0,200.0,4000.0,95.57902091925936,100.51250331170262,173.575,100,1.0,
2.0,7.521331071853638,1.0,False,256.0,1.0,360.0,300.0,3000.0,89.10081075507378,95.18753049944377,174.5447462350967,100,1.0,
3.0,7.6142919063568115,1.0,False,256.0,1.0,360.0,300.0,4000.0,93.67864456027482,96.25,172.702822901164,100,1.0,
4.0,12.52405881881714,1.0,False,256.0,1.0,720.0,200.0,3000.0,90.51260946143697,93.27111742667682,166.01574925850534,100,1.0,
5.0,12.449289798736572,1.0,False,256.0,1.0,720.0,200.0,4000.0,95.60902091925936,100.76250331170262,174.05,100,1.0,
6.0,12.62433695793152,1.0,False,256.0,1.0,720.0,300.0,3000.0,89.11081075507379,95.167820428478,174.0697462350967,100,1.0,
7.0,12.768180131912231,1.0,False,256.0,1.0,720.0,300.0,4000.0,93.63864456027484,96.0,172.202822901164,100,1.0,
8.0,7.849776983261108,1.0,False,256.0,5.0,360.0,200.0,3000.0,90.54025332121644,93.52111742667682,165.99074925850533,100,1.0,
9.0,7.691809892654419,1.0,False,256.0,5.0,360.0,200.0,4000.0,95.57902091925936,100.51250331170262,173.575,100,1.0,
10.0,7.742218017578125,1.0,False,256.0,5.0,360.0,300.0,3000.0,89.10081075507378,95.18753049944377,174.5447462350967,100,1.0,
11.0,7.664311170578003,1.0,False,256.0,5.0,360.0,300.0,4000.0,93.67864456027482,96.25,172.702822901164,100,1.0,
12.0,12.637019157409668,1.0,False,256.0,5.0,720.0,200.0,3000.0,90.51260946143697,93.27111742667682,166.01574925850534,100,1.0,
13.0,12.541330099105837,1.0,False,256.0,5.0,720.0,200.0,4000.0,95.60902091925936,100.76250331170262,174.05,100,1.0,
14.0,12.57705807685852,1.0,False,256.0,5.0,720.0,300.0,3000.0,89.11081075507379,95.167820428478,174.0697462350967,100,1.0,
15.0,12.374059915542604,1.0,False,256.0,5.0,720.0,300.0,4000.0,93.63864456027484,96.0,172.202822901164,100,1.0,
16.0,7.5442280769348145,1.0,False,256.0,10.0,360.0,200.0,3000.0,90.54025332121644,93.52111742667682,165.99074925850533,100,1.0,
17.0,7.689282178878784,1.0,False,256.0,10.0,360.0,200.0,4000.0,95.57902091925936,100.51250331170262,173.575,100,1.0,
18.0,7.489657163619995,1.0,False,256.0,10.0,360.0,300.0,3000.0,89.10081075507378,95.18753049944377,174.5447462350967,100,1.0,
19.0,7.445257186889648,1.0,False,256.0,10.0,360.0,300.0,4000.0,93.67864456027482,96.25,172.702822901164,100,1.0,
20.0,12.58020281791687,1.0,False,256.0,10.0,720.0,200.0,3000.0,90.51260946143697,93.27111742667682,166.01574925850534,100,1.0,
21.0,12.756182193756104,1.0,False,256.0,10.0,720.0,200.0,4000.0,95.60902091925936,100.76250331170262,174.05,100,1.0,
22.0,12.675189971923828,1.0,False,256.0,10.0,720.0,300.0,3000.0,89.11081075507379,95.167820428478,174.0697462350967,100,1.0,
23.0,12.630402088165283,1.0,False,256.0,10.0,720.0,300.0,4000.0,93.63864456027484,96.0,172.202822901164,100,1.0,
24.0,7.714998006820679,1.0,False,256.0,50.0,360.0,200.0,3000.0,90.54025332121644,93.52111742667682,165.99074925850533,100,1.0,
25.0,7.687996864318848,1.0,False,256.0,50.0,360.0,200.0,4000.0,95.57902091925936,100.51250331170262,173.575,100,1.0,
26.0,7.685890197753906,1.0,False,256.0,50.0,360.0,300.0,3000.0,89.10081075507378,95.18753049944377,174.5447462350967,100,1.0,
27.0,7.777137994766235,1.0,False,256.0,50.0,360.0,300.0,4000.0,93.67864456027482,96.25,172.702822901164,100,1.0,
28.0,12.502760887145996,1.0,False,256.0,50.0,720.0,200.0,3000.0,90.51260946143697,93.27111742667682,166.01574925850534,100,1.0,
29.0,12.393550157546995,1.0,False,256.0,50.0,720.0,200.0,4000.0,95.60902091925936,100.76250331170262,174.05,100,1.0,
30.0,12.433511972427368,1.0,False,256.0,50.0,720.0,300.0,3000.0,89.11081075507379,95.167820428478,174.0697462350967,100,1.0,
31.0,12.436094999313354,1.0,False,256.0,50.0,720.0,300.0,4000.0,93.63864456027484,96.0,172.202822901164,100,1.0,
32.0,12.14731788635254,1.0,False,512.0,1.0,360.0,200.0,3000.0,84.1358396135699,80.5028533613553,165.35001874999998,100,1.0,
33.0,12.122036933898926,1.0,False,512.0,1.0,360.0,200.0,4000.0,86.53776834749507,88.43930609098012,167.52821732126105,100,1.0,
34.0,12.205121040344238,1.0,False,512.0,1.0,360.0,300.0,3000.0,85.62570131942157,82.54525891464155,169.55,100,1.0,
35.0,12.09445595741272,1.0,False,512.0,1.0,360.0,300.0,4000.0,81.57770004752665,82.4650800459338,167.23612910395985,100,1.0,
36.0,21.57900595664978,1.0,False,512.0,1.0,720.0,200.0,3000.0,84.14971899673938,80.5028533613553,165.35001874999998,100,1.0,
37.0,21.490078926086422,1.0,False,512.0,1.0,720.0,200.0,4000.0,86.53776834749507,88.43930609098012,167.50321732126105,100,1.0,
38.0,21.42211413383484,1.0,False,512.0,1.0,720.0,300.0,3000.0,85.59570131942156,82.79525891464155,169.55,100,1.0,
39.0,21.504825115203857,1.0,False,512.0,1.0,720.0,300.0,4000.0,81.58770004752664,82.7150800459338,167.5888708960402,100,1.0,
40.0,12.11891508102417,1.0,False,512.0,5.0,360.0,200.0,3000.0,84.1358396135699,80.5028533613553,165.35001874999998,100,1.0,
41.0,12.217968940734863,1.0,False,512.0,5.0,360.0,200.0,4000.0,86.53776834749507,88.43930609098012,167.52821732126105,100,1.0,
42.0,12.20073103904724,1.0,False,512.0,5.0,360.0,300.0,3000.0,85.62570131942157,82.54525891464155,169.55,100,1.0,
43.0,12.247756958007812,1.0,False,512.0,5.0,360.0,300.0,4000.0,81.57770004752665,82.4650800459338,167.23612910395985,100,1.0,
44.0,21.736905097961422,1.0,False,512.0,5.0,720.0,200.0,3000.0,84.14971899673938,80.5028533613553,165.35001874999998,100,1.0,
45.0,21.533079862594604,1.0,False,512.0,5.0,720.0,200.0,4000.0,86.53776834749507,88.43930609098012,167.50321732126105,100,1.0,
46.0,21.652092218399048,1.0,False,512.0,5.0,720.0,300.0,3000.0,85.59570131942156,82.79525891464155,169.55,100,1.0,
47.0,21.522449016571045,1.0,False,512.0,5.0,720.0,300.0,4000.0,81.58770004752664,82.7150800459338,167.5888708960402,100,1.0,
48.0,12.320977926254272,1.0,False,512.0,10.0,360.0,200.0,3000.0,84.1358396135699,80.5028533613553,165.35001874999998,100,1.0,
49.0,12.145012855529783,1.0,False,512.0,10.0,360.0,200.0,4000.0,86.53776834749507,88.43930609098012,167.52821732126105,100,1.0,
50.0,12.343366146087646,1.0,False,512.0,10.0,360.0,300.0,3000.0,85.62570131942157,82.54525891464155,169.55,100,1.0,
51.0,12.118355989456177,1.0,False,512.0,10.0,360.0,300.0,4000.0,81.57770004752665,82.4650800459338,167.23612910395985,100,1.0,
52.0,21.462355852127075,1.0,False,512.0,10.0,720.0,200.0,3000.0,84.14971899673938,80.5028533613553,165.35001874999998,100,1.0,
53.0,21.494130849838257,1.0,False,512.0,10.0,720.0,200.0,4000.0,86.53776834749507,88.43930609098012,167.50321732126105,100,1.0,
54.0,21.460230827331543,1.0,False,512.0,10.0,720.0,300.0,3000.0,85.59570131942156,82.79525891464155,169.55,100,1.0,
55.0,21.84405398368835,1.0,False,512.0,10.0,720.0,300.0,4000.0,81.58770004752664,82.7150800459338,167.5888708960402,100,1.0,
56.0,12.52989411354065,1.0,False,512.0,50.0,360.0,200.0,3000.0,84.1358396135699,80.5028533613553,165.35001874999998,100,1.0,
57.0,12.44735598564148,1.0,False,512.0,50.0,360.0,200.0,4000.0,86.53776834749507,88.43930609098012,167.52821732126105,100,1.0,
58.0,12.51436686515808,1.0,False,512.0,50.0,360.0,300.0,3000.0,85.62570131942157,82.54525891464155,169.55,100,1.0,
59.0,12.417494773864746,1.0,False,512.0,50.0,360.0,300.0,4000.0,81.57770004752665,82.4650800459338,167.23612910395985,100,1.0,
60.0,22.07679796218872,1.0,False,512.0,50.0,720.0,200.0,3000.0,84.14971899673938,80.5028533613553,165.35001874999998,100,1.0,
61.0,21.946589946746823,1.0,False,512.0,50.0,720.0,200.0,4000.0,86.53776834749507,88.43930609098012,167.50321732126105,100,1.0,
62.0,21.93036913871765,1.0,False,512.0,50.0,720.0,300.0,3000.0,85.59570131942156,82.79525891464155,169.55,100,1.0,
63.0,22.029789924621586,1.0,False,512.0,50.0,720.0,300.0,4000.0,81.58770004752664,82.7150800459338,167.5888708960402,100,1.0,
64.0,22.025168895721436,1.0,False,1024.0,1.0,360.0,200.0,3000.0,84.64454097868317,90.43706462517036,161.68599193781898,100,1.0,
65.0,22.123793125152588,1.0,False,1024.0,1.0,360.0,200.0,4000.0,80.1732041867035,86.43706462517036,164.55,100,1.0,
66.0,21.340373277664185,1.0,False,1024.0,1.0,360.0,300.0,3000.0,84.20343802185944,89.6273120430811,164.36752709224265,100,1.0,
67.0,21.54280996322632,1.0,False,1024.0,1.0,360.0,300.0,4000.0,83.75342021949972,90.44811671642378,167.65452589146415,100,1.0,
