feature,threshold,direction,precision,recall,tp,fp,tn,fn,false_positive_rate
entropy,3.784778833289282,>=,0.31006493506493504,1.0,191,425,1393,0,23.377337733773377
local_concentration,0.7392274142311646,<=,0.29027355623100304,1.0,191,467,1351,0,25.687568756875688
prediction_variance,8.032015280256271e-05,<=,0.28851963746223563,1.0,191,471,1347,0,25.90759075907591
max_prob,0.0554494896040988,<=,0.27015558698727016,1.0,191,516,1302,0,28.38283828382838
peak_sharpness,1.1660417319344116,<=,0.09521435692921236,1.0,191,1815,3,0,99.83498349834984
