model,cv_f1_mean,cv_f1_std,cv_precision,cv_recall,cv_auc
NeuralNet,0.7722244435923674,0.12498113770847105,0.7690284449985942,0.7954116059379217,0.9731934200833722
LogisticRegression,0.770936831700286,0.11488748333169338,0.797749766573296,0.7591093117408907,0.9770113591883927
SVM_RBF,0.7705898498341822,0.08738099577900679,0.7882481934388714,0.7695006747638327,0.9582149641958255
RandomForest,0.7701662634399382,0.10722937910662483,0.8075678004163516,0.7535762483130906,0.9658566048518203
XGBoost,0.723169094927974,0.0954141059567121,0.7434804119723724,0.7171390013495277,0.9707625242912326
